Reference,Habitat.Type,Management.Method,Management.Intensity,Duration.of.treatment..years.,Years.since.Treatment..if.applicable.,Significant.,Alpha,Management.Effect.Type,Ecosystem.element.assessed..soil.plant.microbe.fungi.fauna.,Endpoint,Measurement.Unit,Endpoint.Modifier,Magnitude.or.degree.of.change,Magnitude.or.degree.of.change..text.,Response..Measurement,Response.Number.of.Observations,Response.Standard.Deviation,Control.Reference.Measurement,Control.Number.of.Observations,Control.Standard.Deviation,general.area,Location
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,Zn-HCl S,ug/g,0 cm - 10 cm,19.23%,Increase,9.3,3,2.9,7.8,2,0.5,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,Zn-HCl S,ug/g,10 cm - 20 cm,8.75%,Increase,8.7,3,3,8,2,1.7,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,Y,0.1,biogeochemical,Soil,Zn-HCl S,g/m2,Oe + Oa,-66.67%,Decrease,0.03,3,0.01,0.09,2,0.03,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,Zn-HCl S,g/m2,0 cm - 10 cm,-1.37%,Decrease,0.72,3,0.22,0.73,2,0.02,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,1.1,biogeochemical,Soil,Zn-HCl S,g/m2,10 cm - 20 cm,-4.95%,Decrease,0.96,3,0.35,1.01,2,0.2,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,ester sulfate - S,ug/g,Oe + Oa,-17.65%,Decrease,210,4,47,255,2,70,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,ester sulfate - S,ug/g,0 cm - 10 cm,22.92%,Increase,59,4,17,48,2,14,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,1.1,biogeochemical,Soil,ester sulfate - S,ug/g,10 cm - 20 cm,18.52%,Increase,32,4,8,27,2,1,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,sulfate-S,ug/g,Oe + Oa,13.76%,Increase,12.4,4,2.3,10.9,2,2.9,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,sulfate-S,ug/g,0 cm - 10 cm,20.97%,Increase,7.5,4,1.4,6.2,2,0.1,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,sulfate-S,ug/g,10 cm - 20 cm,363.79%,Increase,26.9,4,14.4,5.8,2,2.7,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,sulfate-S,g/m2,Oe + Oa,0.00%,Decrease,0.05,4,0,0.05,2,0.02,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,sulfate-S,g/m2,0 cm - 10 cm,0.00%,Decrease,0.58,4,0.03,0.58,2,0.03,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,1.1,biogeochemical,Soil,sulfate-S,g/m2,10 cm - 20 cm,302.74%,Increase,2.94,4,1.59,0.73,2,0.33,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,Zn-HCl S,ug/g,Oe + Oa,-26.50%,Decrease,14.7,4,1.9,20,2,4,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,Zn-HCl S,ug/g,0 cm - 10 cm,3.85%,Increase,8.1,4,1.8,7.8,2,0.5,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,Zn-HCl S,ug/g,10 cm - 20 cm,31.25%,Increase,10.5,4,3.1,8,2,1.7,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,Zn-HCl S,g/m2,Oe + Oa,-33.33%,Decrease,0.06,4,0.01,0.09,2,0.03,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,Zn-HCl S,g/m2,0 cm - 10 cm,-16.44%,Decrease,0.61,4,0.11,0.73,2,0.02,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,1.1,biogeochemical,Soil,Zn-HCl S,g/m2,10 cm - 20 cm,12.87%,Increase,1.14,4,0.36,1.01,2,0.2,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,ester sulfate - S,ug/g,Oe + Oa,0.00%,Decrease,255,4,34,255,2,70,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,ester sulfate - S,ug/g,0 cm - 10 cm,35.42%,Increase,65,4,12,48,2,14,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,1.1,biogeochemical,Soil,ester sulfate - S,ug/g,10 cm - 20 cm,-7.41%,Decrease,25,4,4,27,2,1,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,Carbon-S,ug/g,Oe + Oa,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,Carbon-S,ug/g,0 cm - 10 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,1.1,biogeochemical,Soil,Carbon-S,ug/g,10 cm - 20 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,Y,0.1,biogeochemical,Soil,Carbon-S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,Carbon-S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,Carbon-S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,Y,0.1,biogeochemical,Soil,S,ug/g,Oe + Oa,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,S,ug/g,0 cm - 10 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,1.1,biogeochemical,Soil,S,ug/g,10 cm - 20 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,1.1,biogeochemical,Soil,S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,Carbon-S,ug/g,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,Carbon-S,ug/g,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,1.1,biogeochemical,Soil,Carbon-S,ug/g,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,Y,0.1,biogeochemical,Soil,Carbon-S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,Carbon-S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,Carbon-S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,Y,0.1,biogeochemical,Soil,S,ug/g,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,S,ug/g,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,1.1,biogeochemical,Soil,S,ug/g,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,Y,0.1,biogeochemical,Soil,S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,1.1,biogeochemical,Soil,S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,Carbon-S,ug/g,Oe + Oa,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,Carbon-S,ug/g,0 cm - 10 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,1.1,biogeochemical,Soil,Carbon-S,ug/g,10 cm - 20 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,Carbon-S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,Carbon-S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,Carbon-S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,Y,0.1,biogeochemical,Soil,S,ug/g,Oe + Oa,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,S,ug/g,0 cm - 10 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,1.1,biogeochemical,Soil,S,ug/g,10 cm - 20 cm,#DIV/0!,#DIV/0!,,3,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,1.1,biogeochemical,Soil,S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,ester sulfate - S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,Carbon-S,ug/g,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,Carbon-S,ug/g,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,1.1,biogeochemical,Soil,Carbon-S,ug/g,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,Carbon-S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,Carbon-S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,Carbon-S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,S,ug/g,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,S,ug/g,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,1.1,biogeochemical,Soil,S,ug/g,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,S,g/m2,Oe + Oa,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,S,g/m2,0 cm - 10 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,1.1,biogeochemical,Soil,S,g/m2,10 cm - 20 cm,#DIV/0!,#DIV/0!,,4,,,2,,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,C:S,,Oe + Oa,72.88%,Increase,510,3,55,295,2,37,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,0.1,biogeochemical,Soil,C:S,,0 cm - 10 cm,34.88%,Increase,290,3,38,215,2,40,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Annual,30,1,N,1.1,biogeochemical,Soil,C:S,,10 cm - 20 cm,26.67%,Increase,190,3,10,150,2,0,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,C:S,,Oe + Oa,72.88%,Increase,510,4,34,295,2,37,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,0.1,biogeochemical,Soil,C:S,,0 cm - 10 cm,20.93%,Increase,260,4,27,215,2,40,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 2 years,30,2,N,1.1,biogeochemical,Soil,C:S,,10 cm - 20 cm,6.67%,Increase,160,4,22,150,2,0,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,C:S,,Oe + Oa,38.98%,Increase,410,3,57,295,2,37,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,0.1,biogeochemical,Soil,C:S,,0 cm - 10 cm,16.28%,Increase,250,3,30,215,2,40,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 3 years,30,3,N,1.1,biogeochemical,Soil,C:S,,10 cm - 20 cm,10.00%,Increase,165,3,30,150,2,0,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,C:S,,Oe + Oa,30.51%,Increase,385,4,36,295,2,37,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,0.1,biogeochemical,Soil,C:S,,0 cm - 10 cm,16.28%,Increase,250,4,21,215,2,40,SE,Georgia
Binkley et al 1992,Forest,Prescribed Burn,Every 4 years,30,1,N,1.1,biogeochemical,Soil,C:S,,10 cm - 20 cm,10.00%,Increase,165,4,41,150,2,0,SE,Georgia
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,N,0.05,community composition,Plant,mass,mg,seed,9.17%,Increase,113.1,3,17.6,103.6,5,4.5,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,N,0.05,community composition,Plant,mass,mg,seed embryo,24.94%,Increase,51.1,3,8.1,40.9,5,5.6,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,N,0.05,community composition,Plant,mass,% of seed mass,seed embryo,13.89%,Increase,45.1,3,0.1,39.6,5,5.6,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,N,0.05,community composition,Plant,filled seeds,%,,6.48%,Increase,46,3,4.5,43.2,5,5,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,Y,0.05,community composition,Plant,Al,ug/g,,-51.89%,Decrease,2.29,3,0.32,4.76,5,1.59,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,N,0.05,community composition,Plant,Ca,ug/g,,9.74%,Increase,4789,3,1059,4364,5,186.8,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,Y,0.05,community composition,Plant,Fe,ug/g,,4.36%,Increase,50.53,3,1.8,48.42,5,4.1,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,Y,0.05,community composition,Plant,K,ug/g,,-11.05%,Decrease,15297,3,1034,17197,5,601.8,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,Y,0.05,community composition,Plant,Mg,ug/g,,-14.89%,Decrease,2647,3,222.3,3110,5,53,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,N,0.05,community composition,Plant,Mn,ug/g,,-6.63%,Decrease,493,3,73.6,528,5,98.9,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,N,0.05,community composition,Plant,P,ug/g,,-7.25%,Decrease,6988,3,230.2,7534,5,555.8,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,7,Y,0.05,community composition,Plant,Si,ug/g,,209.41%,Increase,105.2,3,7.9,34,5,7.9,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,N,0.05,community composition,Plant,mass,mg,stem,17.73%,Increase,25.9,8,9.4,22,6,6.8,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,N,0.05,community composition,Plant,mass,mg,leaf,32.22%,Increase,51.3,8,18.7,38.8,6,14.4,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,N,0.05,community composition,Plant,mass,mg,root,4.81%,Increase,10.9,8,3.4,10.4,6,1.2,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,N,0.05,community composition,Plant,mass,mass,root:shoot,-7.84%,Decrease,0.47,8,0.23,0.51,6,0.18,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,N,0.05,community composition,Plant,Al,ug/g,,114.49%,Increase,254.6,8,156.9,118.7,6,100.9,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,N,0.05,community composition,Plant,Ca,ug/g,,15.73%,Increase,7446,8,1789,6434,6,793.6,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,Y,0.05,community composition,Plant,Fe,ug/g,,257.83%,Increase,336,8,217,93.9,6,22.4,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,N,0.05,community composition,Plant,K,ug/g,,-11.98%,Decrease,9506,8,1152,10800,6,1676,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,Y,0.05,community composition,Plant,Mg,ug/g,,-37.49%,Decrease,1442,8,221.5,2307,6,174,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,N,0.05,community composition,Plant,Mn,ug/g,,-34.65%,Decrease,481,8,221,736,6,386,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,Y,0.05,community composition,Plant,P,ug/g,,-24.27%,Decrease,2443,8,553,3226,6,604,NE,New Hampshire
Cleavitt et al 2011,Forest,Liming,.85 Mg Ca/ha,1,9,Y,0.05,community composition,Plant,Si,ug/g,,290.36%,Increase,648,8,230,166,6,108,NE,New Hampshire
Dore et al 2016,Forest,Prescribed Burn,,,1,,,community composition,Plant,biomass,tC/ha,,-12.21%,Decrease,187,3,22,213,3,36,PNW,California
Dore et al 2016,Forest,Prescribed Burn,,,1,,,community composition,Plant,density,N/ha,tree,-28.42%,Decrease,393,3,75,549,3,78,PNW,California
Dore et al 2016,Forest,Prescribed Burn,,,7,,,community composition,Plant,biomass,tC/ha,,-20.42%,Decrease,191,3,23,240,3,39,PNW,California
Dore et al 2016,Forest,Prescribed Burn,,,7,,,community composition,Plant,density,N/ha,tree,-47.19%,Decrease,282,3,33,534,3,63,PNW,California
Dore et al 2016,Forest,Prescribed Burn,,,7,,,community composition,Plant,radial growth,mm/yr,individual tree radial growth,6.80%,Increase,2.2,3,0.14,2.06,3,0.43,PNW,California
Dore et al 2016,Forest,Prescribed Burn,,,7,,,community composition,Plant,radial growth,mm/yr,mean tree radial growth,15.63%,Increase,2.59,3,1.31,2.24,3,1.1,PNW,California
Dore et al 2016,Forest,Prescribed Burn,,,7,,,community composition,Plant,stand productivity,tC/ha/year,,-16.77%,Decrease,3.97,3,1.84,4.77,3,2.25,PNW,California
Dore et al 2016,Forest,Thinning,,,1,,,community composition,Plant,biomass,tC/ha,,-15.96%,Decrease,179,3,8,213,3,36,PNW,California
Dore et al 2016,Forest,Thinning,,,1,,,community composition,Plant,density,N/ha,tree,-57.92%,Decrease,231,3,9,549,3,78,PNW,California
Dore et al 2016,Forest,Thinning,,,7,,,community composition,Plant,biomass,tC/ha,,-12.92%,Decrease,209,3,6,240,3,39,PNW,California
Dore et al 2016,Forest,Thinning,,,7,,,community composition,Plant,density,N/ha,tree,-59.93%,Decrease,214,3,14,534,3,63,PNW,California
Dore et al 2016,Forest,Thinning,,,7,,,community composition,Plant,radial growth,mm/yr,individual tree radial growth,59.71%,Increase,3.29,3,0.16,2.06,3,0.43,PNW,California
Dore et al 2016,Forest,Thinning,,,7,,,community composition,Plant,radial growth,mm/yr,mean tree radial growth,7.59%,Increase,2.41,3,0.77,2.24,3,1.1,PNW,California
Dore et al 2016,Forest,Thinning,,,7,,,community composition,Plant,stand productivity,tC/ha/year,,-24.74%,Decrease,3.59,3,0.85,4.77,3,2.25,PNW,California
Fahey et al 2016,Forest,Liming,1028 kg Ca/ha,1,11,Y,Not Stated,biogeochemical,Soil,pH,,Oie,21.39%,Increase,4.71,,,3.88,,,NE,New Hampshire
Fahey et al 2016,Forest,Liming,1028 kg Ca/ha,1,11,Y,Not Stated,biogeochemical,Soil,pH,,Oa,15.71%,Increase,4.42,,,3.82,,,NE,New Hampshire
Fahey et al 2016,Forest,Liming,1028 kg Ca/ha,1,11,Y,Not Stated,biogeochemical,Soil,pH,,0 cm - 10 cm,5.05%,Increase,4.16,,,3.96,,,NE,New Hampshire
Fahey et al 2016,Forest,Liming,1028 kg Ca/ha,1,11,Y,Not Stated,biogeochemical,Soil,base saturation,%,Oie,69.39%,Increase,83,,,49,,,NE,New Hampshire
